job_id,user_email,project_id,creation_time,start_time,end_time,job_type,statement_type,query,total_bytes_processed,total_bytes_billed,slot_ms,cache_hit,state
job_000001,user_011@company.com,project_36,2025-11-16 08:42:39,2025-11-16 08:42:43,2025-11-16 08:48:57,QUERY,SELECT,SELECT * FROM sales.transactions,552784715,552784715,142494,FALSE,DONE
job_000002,user_032@company.com,project_36,2025-05-08 16:47:46,2025-05-08 16:47:51,2025-05-08 16:49:31,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",494116970,494116970,29100,FALSE,DONE
job_000003,user_013@company.com,project_48,2025-01-22 18:05:14,2025-01-22 18:05:15,2025-01-22 18:12:05,QUERY,SELECT,SELECT * FROM sales.transactions,2676313420,2676313420,159490,FALSE,DONE
job_000004,user_005@company.com,project_23,2025-12-18 09:57:24,2025-12-18 09:57:25,2025-12-18 10:01:49,QUERY,SELECT,SELECT * FROM events.sessions,88754095,88754095,121968,FALSE,DONE
job_000005,user_073@company.com,project_41,2025-12-26 10:06:44,2025-12-26 10:06:47,2025-12-26 10:08:07,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",4748282422,4748282422,17680,FALSE,DONE
job_000006,user_063@company.com,project_35,2025-04-18 09:26:02,2025-04-18 09:26:02,2025-04-18 09:27:31,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",2488995960,2488995960,37647,FALSE,FAILED
job_000007,user_049@company.com,project_27,2025-03-10 00:21:22,2025-03-10 00:21:25,2025-03-10 00:25:36,QUERY,SELECT,"SELECT id, created_at             FROM events.sessions             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",58559280,58559280,64005,FALSE,DONE
job_000008,user_015@company.com,project_47,2025-09-01 17:27:48,2025-09-01 17:27:49,2025-09-01 17:27:52,QUERY,UPDATE,UPDATE users.profile SET updated_at = CURRENT_TIMESTAMP() WHERE updated_at IS NULL,590544459,590544459,462,FALSE,DONE
job_000009,user_009@company.com,project_21,2025-02-10 02:19:50,2025-02-10 02:19:54,2025-02-10 02:25:21,QUERY,SELECT,SELECT * FROM inventory.products,1115589401,1115589401,35970,FALSE,DONE
job_000010,user_018@company.com,project_32,2025-06-03 17:22:57,2025-06-03 17:23:02,2025-06-03 17:26:41,QUERY,INSERT,INSERT INTO raw_logs.logs SELECT * FROM staging.logs,169620548,169620548,15111,FALSE,DONE
job_000011,user_064@company.com,project_13,2025-12-16 21:03:33,2025-12-16 21:03:37,2025-12-16 21:10:43,QUERY,UPDATE,UPDATE users.profile SET updated_at = CURRENT_TIMESTAMP() WHERE updated_at IS NULL,789797650,789797650,195960,FALSE,DONE
job_000012,user_001@company.com,project_26,2025-03-31 04:35:12,2025-03-31 04:35:13,2025-03-31 04:36:31,QUERY,UPDATE,UPDATE inventory.products SET updated_at = CURRENT_TIMESTAMP() WHERE updated_at IS NULL,209857872,209857872,7800,FALSE,DONE
job_000013,user_083@company.com,project_39,2025-01-04 05:54:03,2025-01-04 05:54:05,2025-01-04 05:58:10,QUERY,SELECT,"SELECT id, created_at             FROM events.sessions             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",153582312,153582312,25480,FALSE,DONE
job_000014,user_073@company.com,project_40,2025-12-16 18:59:30,2025-12-16 18:59:31,2025-12-16 19:05:41,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",219456999,0,163170,TRUE,DONE
job_000015,user_067@company.com,project_50,2025-05-12 21:42:42,2025-05-12 21:42:46,2025-05-12 21:50:18,QUERY,SELECT,SELECT * FROM raw_logs.logs,130835634,0,221480,TRUE,DONE
job_000016,user_066@company.com,project_17,2025-01-14 04:39:06,2025-01-14 04:39:09,2025-01-14 04:42:27,QUERY,INSERT,INSERT INTO events.sessions SELECT * FROM staging.sessions,178416681,178416681,76230,FALSE,DONE
job_000017,user_089@company.com,project_17,2025-01-28 11:07:40,2025-01-28 11:07:41,2025-01-28 11:11:54,QUERY,SCRIPT,BEGIN           CREATE TEMP TABLE tmp AS SELECT * FROM raw_logs.logs;           SELECT COUNT(*) FROM tmp;         END;,886194116,886194116,47058,FALSE,DONE
job_000018,user_027@company.com,project_15,2025-05-05 22:34:57,2025-05-05 22:34:59,2025-05-05 22:43:49,QUERY,SELECT,SELECT * FROM inventory.products,7899315672,7899315672,154230,FALSE,DONE
job_000019,user_067@company.com,project_20,2025-07-23 21:46:34,2025-07-23 21:46:36,2025-07-23 21:55:40,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",1084958929,0,58752,TRUE,FAILED
job_000020,user_055@company.com,project_46,2025-07-25 02:06:28,2025-07-25 02:06:29,2025-07-25 02:08:20,QUERY,SELECT,"SELECT id, created_at             FROM users.profile             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",102507340,0,21201,TRUE,DONE
job_000021,user_064@company.com,project_43,2025-10-22 23:47:29,2025-10-22 23:47:30,2025-10-22 23:55:50,QUERY,DELETE,"DELETE FROM inventory.products WHERE created_at < DATE_SUB(CURRENT_DATE(), INTERVAL 365 DAY)",1752549028,1752549028,101000,FALSE,DONE
job_000022,user_077@company.com,project_40,2025-06-06 18:26:41,2025-06-06 18:26:43,2025-06-06 18:29:13,QUERY,SELECT,"SELECT id, created_at             FROM analytics.daily_metrics             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",478050211,478050211,62400,FALSE,DONE
job_000023,user_082@company.com,project_01,2025-09-20 08:36:01,2025-09-20 08:36:06,2025-09-20 08:38:17,QUERY,SELECT,"SELECT id, created_at             FROM inventory.products             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",708439156,708439156,53710,FALSE,DONE
job_000024,user_044@company.com,project_24,2025-11-13 04:04:03,2025-11-13 04:04:04,2025-11-13 04:07:23,QUERY,SELECT,SELECT * FROM inventory.products,53397084,53397084,34029,FALSE,DONE
job_000025,user_066@company.com,project_37,2025-11-02 12:40:21,2025-11-02 12:40:21,2025-11-02 12:44:26,QUERY,SELECT,SELECT * FROM sales.transactions,2241778902,2241778902,37485,FALSE,DONE
job_000026,user_004@company.com,project_11,2025-01-02 02:20:37,2025-01-02 02:20:39,2025-01-02 02:22:38,QUERY,INSERT,INSERT INTO sales.transactions SELECT * FROM staging.transactions,26860851,26860851,56644,FALSE,DONE
job_000027,user_097@company.com,project_05,2025-08-12 20:38:46,2025-08-12 20:38:51,2025-08-12 20:40:22,QUERY,SELECT,"SELECT id, created_at             FROM events.sessions             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",258458587,258458587,39767,FALSE,DONE
job_000028,user_002@company.com,project_16,2025-02-07 01:30:26,2025-02-07 01:30:26,2025-02-07 01:37:52,QUERY,UPDATE,UPDATE events.sessions SET updated_at = CURRENT_TIMESTAMP() WHERE updated_at IS NULL,549189671,549189671,158330,FALSE,DONE
job_000029,user_076@company.com,project_47,2025-06-02 17:55:51,2025-06-02 17:55:55,2025-06-02 18:04:22,QUERY,SELECT,SELECT * FROM analytics.daily_metrics,353001096,0,128778,TRUE,DONE
job_000030,user_062@company.com,project_48,2025-11-26 06:55:02,2025-11-26 06:55:02,2025-11-26 07:00:39,QUERY,SELECT,"SELECT id, created_at             FROM raw_logs.logs             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",10565138824,10565138824,123679,FALSE,DONE
job_000031,user_009@company.com,project_20,2025-11-05 17:45:06,2025-11-05 17:45:11,2025-11-05 17:54:55,QUERY,SELECT,"SELECT id, created_at             FROM inventory.products             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",231713897,231713897,84680,FALSE,DONE
job_000032,user_006@company.com,project_46,2025-12-11 18:01:26,2025-12-11 18:01:27,2025-12-11 18:10:27,QUERY,SELECT,SELECT * FROM sales.transactions,608177824,608177824,223560,FALSE,DONE
job_000033,user_051@company.com,project_18,2025-07-15 09:30:45,2025-07-15 09:30:50,2025-07-15 09:37:54,QUERY,SCRIPT,BEGIN           CREATE TEMP TABLE tmp AS SELECT * FROM users.profile;           SELECT COUNT(*) FROM tmp;         END;,116752657,116752657,132712,FALSE,DONE
job_000034,user_087@company.com,project_25,2025-06-10 00:16:54,2025-06-10 00:16:56,2025-06-10 00:26:03,QUERY,SELECT,"SELECT id, created_at             FROM raw_logs.logs             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",1872408969,0,171758,TRUE,DONE
job_000035,user_043@company.com,project_30,2025-08-09 01:06:22,2025-08-09 01:06:25,2025-08-09 01:12:00,QUERY,SELECT,SELECT * FROM analytics.daily_metrics,336697250,336697250,76045,FALSE,DONE
job_000036,user_012@company.com,project_16,2025-08-22 08:56:35,2025-08-22 08:56:40,2025-08-22 09:01:03,QUERY,INSERT,INSERT INTO sales.transactions SELECT * FROM staging.transactions,1885021720,1885021720,107567,FALSE,DONE
job_000037,user_032@company.com,project_41,2025-12-28 11:19:13,2025-12-28 11:19:16,2025-12-28 11:21:25,QUERY,SELECT,"SELECT id, created_at             FROM inventory.products             WHERE created_at >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)",288518263,288518263,8127,FALSE,DONE
job_000038,user_031@company.com,project_22,2025-03-27 15:35:55,2025-03-27 15:36:00,2025-03-27 15:44:04,QUERY,SELECT,SELECT * FROM sales.transactions,1215090562,1215090562,168916,FALSE,DONE
